"Story","Title","Result","Date","Stability","Duration (s)"
"Assignment3 test","Create Customer","SUCCESS","2020-05-04T14:10:49.102+05:30[Asia/Calcutta]","0.0","10.3"
"Assignment3 test","Create Customer with same username","SUCCESS","2020-05-04T14:10:59.497+05:30[Asia/Calcutta]","0.0","0.96"
